shipment_id,export_country,import_country,commodity,hs_code,quantity,declared_value_usd,transport_mode,departure_port,arrival_port,transit_time_days,delay_status,contract_value_usd,payment_terms,currency_exchange_rate,market_price_per_unit,price_volatility_index,anomaly_flag
SHP01394,China,Egypt,Machinery,100610,4489,111960,Air,Beijing,Dar es Salaam,36,On-Time,112709,Prepaid,65.63,169.44,0.34,1
SHP01395,China,South Africa,Machinery,100610,933,127790,Road,Shanghai,Mombasa,25,On-Time,127185,Prepaid,7.27,2436.53,0.36,0
SHP01396,China,South Africa,Machinery,100610,129,97943,Rail,Qingdao,Cairo,15,On-Time,98871,Credit,16.59,2587.32,0.37,0
SHP01397,China,Kenya,Textiles,847130,1248,50177,Road,Beijing,Dar es Salaam,34,On-Time,49938,On Delivery,63.85,1893.41,0.29,0
SHP01398,China,Ghana,Textiles,260300,3089,100287,Ship,Shanghai,Mombasa,25,Delayed,99964,Prepaid,53.16,1417.26,0.08,0
SHP01399,China,Kenya,Textiles,843890,4223,97693,Rail,Beijing,Addis Ababa,19,On-Time,96707,On Delivery,31.22,837.11,0.44,1
SHP01400,China,Ghana,Machinery,260300,1753,110312,Air,Shenzhen,Tema,29,On-Time,111003,Prepaid,45.83,2062.22,0.39,0
SHP01401,China,Ghana,Textiles,843890,3541,124968,Rail,Beijing,Dar es Salaam,35,Delayed,125713,Credit,1.71,914.01,0.06,1
SHP01402,China,Nigeria,Textiles,100610,522,19892,Rail,Beijing,Dar es Salaam,18,Delayed,19448,Prepaid,47.88,600.76,0.05,0
SHP01403,China,Ghana,Electronics,847130,2366,99542,Road,Shanghai,Addis Ababa,6,On-Time,100361,On Delivery,33.71,1709.61,0.46,1
SHP01404,China,Ethiopia,Agricultural,847130,4939,116443,Air,Beijing,Mombasa,30,On-Time,117053,On Delivery,52.31,2271.33,0.34,0
SHP01405,China,Egypt,Minerals,260300,1381,62042,Rail,Qingdao,Cairo,20,On-Time,62711,On Delivery,60.24,5.55,0.19,0
SHP01406,China,Egypt,Agricultural,100610,3750,43886,Rail,Shenzhen,Dar es Salaam,4,On-Time,44746,Credit,24.57,1705.65,0.42,1
SHP01407,China,Kenya,Minerals,847130,2112,55406,Air,Qingdao,Tema,39,Delayed,55783,Prepaid,34.75,2491.38,0.48,1
SHP01408,China,Ethiopia,Electronics,100610,520,134554,Ship,Shanghai,Cairo,6,On-Time,135000,On Delivery,22.87,2729.92,0.44,1
SHP01409,China,South Africa,Minerals,520942,1761,128554,Ship,Shanghai,Dar es Salaam,34,On-Time,129136,Prepaid,3.79,2448.38,0.23,0
SHP01410,China,Tanzania,Minerals,843890,2447,114934,Road,Shenzhen,Mombasa,31,Delayed,114718,Credit,60.25,2693.04,0.47,1
SHP01411,China,Egypt,Electronics,100610,1558,14404,Rail,Shanghai,Durban,34,On-Time,14464,Credit,64.14,2254.69,0.47,1
SHP01412,China,Egypt,Agricultural,100610,663,39640,Ship,Shenzhen,Tema,21,On-Time,40223,Credit,53.76,2112.01,0.3,0
SHP01413,China,South Africa,Minerals,520942,3423,69442,Air,Shenzhen,Addis Ababa,36,On-Time,68836,Prepaid,30.05,1682.83,0.22,0
SHP01414,China,South Africa,Machinery,843890,443,132962,Air,Shenzhen,Cairo,10,Delayed,133429,Credit,2.06,2209.57,0.08,0
SHP01415,China,South Africa,Textiles,847130,410,144148,Ship,Guangzhou,Mombasa,25,On-Time,143553,Prepaid,20.01,1516.4,0.49,1
SHP01416,China,Ethiopia,Machinery,843890,1843,115188,Road,Shanghai,Durban,35,Delayed,114782,Prepaid,62.71,878.09,0.29,0
SHP01417,China,Nigeria,Machinery,520942,2903,89156,Road,Shanghai,Durban,19,On-Time,89758,On Delivery,22.02,1871.37,0.24,0
SHP01418,China,Tanzania,Electronics,100610,4447,78927,Ship,Beijing,Tema,37,On-Time,78233,Credit,68.99,2430.69,0.24,1
SHP01419,China,South Africa,Textiles,843890,2742,51902,Road,Qingdao,Durban,39,On-Time,52089,On Delivery,34.18,1345.63,0.39,0
SHP01420,China,South Africa,Textiles,260300,4100,29464,Air,Qingdao,Durban,7,On-Time,30251,Credit,9.82,1827.56,0.35,0
SHP01421,China,Tanzania,Minerals,100610,1726,85140,Air,Beijing,Cairo,22,On-Time,84954,Credit,57.56,2971.17,0.1,0
SHP01422,China,Nigeria,Minerals,843890,2111,123915,Rail,Beijing,Dar es Salaam,24,On-Time,123657,On Delivery,15.38,1329.25,0.04,0
SHP01423,China,Tanzania,Machinery,520942,4403,32032,Ship,Guangzhou,Lagos,17,On-Time,32150,Credit,3.7,1838.87,0.36,0
SHP01424,China,Egypt,Minerals,520942,4419,144122,Rail,Beijing,Lagos,19,On-Time,144184,Prepaid,12.56,1119.12,0.43,1
SHP01425,China,Nigeria,Electronics,100610,2975,55272,Air,Shenzhen,Cairo,12,On-Time,55792,On Delivery,18.02,508.58,0.49,1
SHP01426,China,Kenya,Minerals,847130,1401,140052,Air,Shenzhen,Tema,25,On-Time,139745,On Delivery,34.55,1026.6,0.28,0
SHP01427,China,Tanzania,Agricultural,843890,607,14808,Road,Shanghai,Dar es Salaam,21,On-Time,14846,Credit,35.21,287.26,0.09,0
SHP01428,China,Nigeria,Agricultural,847130,4913,147239,Ship,Shanghai,Addis Ababa,23,On-Time,147289,Prepaid,69.34,2050.64,0.33,1
SHP01429,China,Ethiopia,Agricultural,520942,412,139526,Ship,Beijing,Tema,15,On-Time,139743,Prepaid,59.5,1804.22,0.34,0
SHP01430,China,Tanzania,Minerals,260300,4867,79935,Air,Beijing,Dar es Salaam,38,On-Time,79938,Prepaid,2.49,362.09,0.33,0
SHP01431,China,South Africa,Agricultural,260300,3792,107231,Ship,Guangzhou,Lagos,9,On-Time,107692,Credit,64.18,2604.01,0.19,0
SHP01432,China,Ghana,Electronics,847130,4735,19239,Road,Qingdao,Mombasa,29,Delayed,19570,On Delivery,28.31,2666.64,0.13,0
SHP01433,China,Tanzania,Agricultural,100610,855,133431,Rail,Qingdao,Mombasa,26,On-Time,132899,Credit,19.15,1101.89,0.22,0
SHP01434,China,Egypt,Machinery,260300,2298,18107,Road,Shanghai,Cairo,31,On-Time,18782,Credit,29.69,1558.83,0.03,0
SHP01435,China,South Africa,Electronics,100610,128,84232,Air,Shenzhen,Mombasa,4,On-Time,84469,On Delivery,33.14,68.47,0.12,0
SHP01436,China,Nigeria,Textiles,847130,1534,85989,Air,Guangzhou,Tema,17,Delayed,86539,Prepaid,53.74,1285.19,0.32,0
SHP01437,China,Ghana,Electronics,100610,3801,146295,Ship,Shenzhen,Durban,12,On-Time,145429,Credit,62.54,1002.59,0.08,0
SHP01438,China,Ghana,Machinery,260300,2144,35755,Air,Beijing,Cairo,33,On-Time,36303,On Delivery,44.68,907.17,0.02,0
SHP01439,China,Ethiopia,Machinery,260300,2085,147127,Road,Shanghai,Tema,23,Delayed,146307,On Delivery,69.03,2003.24,0.13,1
SHP01440,China,Ethiopia,Textiles,100610,3939,123194,Ship,Qingdao,Cairo,37,On-Time,123780,On Delivery,23.52,483.09,0.11,0
SHP01441,China,Ghana,Minerals,260300,2236,142039,Ship,Shenzhen,Tema,26,On-Time,142498,On Delivery,68.35,996.99,0.07,1
SHP01442,China,Tanzania,Minerals,847130,1907,85093,Rail,Beijing,Lagos,15,Delayed,85273,Prepaid,44.14,948.59,0.28,0
SHP01443,China,South Africa,Machinery,100610,4771,59862,Rail,Guangzhou,Tema,25,On-Time,60242,On Delivery,67.6,784.89,0.02,1
SHP01444,China,Kenya,Electronics,100610,2099,19568,Rail,Guangzhou,Tema,3,On-Time,18747,On Delivery,27.72,1769.45,0.33,0
SHP01445,China,Egypt,Minerals,843890,4023,15683,Road,Guangzhou,Dar es Salaam,21,On-Time,15314,Credit,58.45,827.34,0.28,0
SHP01446,China,South Africa,Minerals,843890,3022,11955,Ship,Beijing,Dar es Salaam,38,On-Time,12899,Credit,67.74,484.42,0.4,1
SHP01447,China,Ethiopia,Minerals,847130,3418,22279,Ship,Shanghai,Cairo,4,On-Time,22271,On Delivery,64.94,2380.06,0.46,1
SHP01448,China,Kenya,Electronics,843890,3642,142930,Air,Shenzhen,Tema,19,On-Time,142768,Credit,36.74,2141.8,0.46,1
SHP01449,China,South Africa,Minerals,260300,3357,63046,Rail,Shenzhen,Mombasa,39,On-Time,63831,Credit,26.18,2440.36,0.31,0
SHP01450,China,Ghana,Agricultural,847130,4996,64332,Air,Guangzhou,Durban,7,On-Time,64383,On Delivery,34.4,1873.11,0.42,1
SHP01451,China,Ethiopia,Minerals,520942,3634,13539,Rail,Shanghai,Durban,17,On-Time,12564,Prepaid,58.28,331.45,0.06,0
SHP01452,China,Tanzania,Minerals,847130,2871,110494,Air,Shenzhen,Durban,32,On-Time,110092,Credit,37.28,26.62,0.17,0
SHP01453,China,South Africa,Machinery,520942,2087,134473,Rail,Beijing,Dar es Salaam,37,On-Time,134897,Prepaid,26.1,141.23,0.42,1
SHP01454,China,Egypt,Electronics,100610,1809,46751,Rail,Beijing,Dar es Salaam,5,On-Time,47536,Prepaid,19.21,2173.99,0.45,1
SHP01455,China,Ghana,Minerals,847130,4496,148193,Air,Shanghai,Mombasa,14,On-Time,148713,Prepaid,66.81,165.37,0.36,1
SHP01456,China,Ethiopia,Electronics,843890,3996,146025,Rail,Shanghai,Cairo,10,On-Time,146303,Prepaid,55.63,1271.16,0.4,0
SHP01457,China,Egypt,Minerals,520942,511,29496,Ship,Qingdao,Durban,28,On-Time,29935,Prepaid,22.1,1654.48,0.15,0
SHP01458,China,Nigeria,Machinery,520942,877,30465,Air,Shanghai,Tema,15,On-Time,31386,On Delivery,4.1,445.15,0.46,1
SHP01459,China,Kenya,Textiles,260300,4733,32219,Road,Shenzhen,Durban,25,Delayed,33176,Prepaid,52.16,2905.7,0.23,0
SHP01460,China,Ethiopia,Textiles,100610,4977,143736,Ship,Guangzhou,Mombasa,36,Delayed,143837,Prepaid,65.03,1565.37,0.25,1
SHP01461,China,South Africa,Electronics,520942,117,79944,Road,Guangzhou,Tema,22,On-Time,80135,Credit,33.72,955.48,0.32,0
SHP01462,China,Ethiopia,Electronics,847130,935,115373,Rail,Guangzhou,Dar es Salaam,6,On-Time,115298,On Delivery,62.31,2873.2,0.44,1
SHP01463,China,Egypt,Electronics,843890,3794,74001,Rail,Beijing,Addis Ababa,30,On-Time,74318,Prepaid,56.85,377.89,0.49,1
SHP01464,China,Egypt,Machinery,843890,55,12038,Rail,Shanghai,Dar es Salaam,17,On-Time,11848,Credit,35.3,539.3,0.26,0
SHP01465,China,Ghana,Minerals,100610,1739,25875,Ship,Shanghai,Dar es Salaam,4,On-Time,25898,Credit,46.58,1306.1,0.18,0
SHP01466,China,Tanzania,Minerals,847130,64,89335,Rail,Qingdao,Mombasa,23,Delayed,89034,Credit,40.48,741.75,0.25,0
SHP01467,China,Kenya,Machinery,847130,3270,63951,Rail,Guangzhou,Addis Ababa,36,On-Time,63119,On Delivery,28.9,1272.86,0.32,0
SHP01468,China,Ethiopia,Machinery,843890,4649,51629,Road,Beijing,Lagos,36,On-Time,52374,Credit,19.95,1773.82,0.31,0
SHP01469,China,Ethiopia,Machinery,520942,4320,149358,Road,Guangzhou,Dar es Salaam,22,Delayed,149574,Prepaid,21.27,2814.27,0.41,1
SHP01470,China,Ethiopia,Electronics,520942,981,148266,Ship,Shanghai,Mombasa,37,On-Time,148639,On Delivery,15.56,882.25,0.18,0
SHP01471,China,Egypt,Textiles,260300,2968,97676,Air,Beijing,Tema,6,On-Time,98384,Credit,69.96,2012.71,0.5,1
SHP01472,China,Egypt,Agricultural,260300,3335,133909,Rail,Qingdao,Dar es Salaam,26,On-Time,134470,On Delivery,32.73,1036.56,0.35,0
SHP01473,China,Egypt,Minerals,847130,1303,112578,Ship,Shenzhen,Dar es Salaam,34,On-Time,112913,Credit,19.77,2149.7,0.2,0
SHP01474,China,Ghana,Machinery,847130,4058,92185,Road,Qingdao,Cairo,14,Delayed,91293,Prepaid,61.82,985.11,0.15,0
SHP01475,China,Nigeria,Agricultural,847130,1567,84180,Rail,Shanghai,Addis Ababa,31,On-Time,84184,Credit,37.39,1517.65,0.27,0
SHP01476,China,Ghana,Machinery,100610,3288,48175,Ship,Guangzhou,Cairo,5,On-Time,48309,Prepaid,13.77,314.26,0.04,0
SHP01477,China,Nigeria,Textiles,520942,3071,79289,Air,Shenzhen,Lagos,21,On-Time,79622,On Delivery,31.33,887.47,0.03,0
SHP01478,China,Ethiopia,Agricultural,520942,844,40247,Road,Guangzhou,Durban,21,On-Time,40789,Credit,54.21,738.14,0.03,0
SHP01479,China,Tanzania,Machinery,520942,4009,52289,Rail,Qingdao,Durban,10,Delayed,51842,On Delivery,38.05,427.79,0.02,0
SHP01480,China,Ghana,Textiles,843890,3777,146668,Rail,Qingdao,Dar es Salaam,5,On-Time,146514,Prepaid,36.4,2242.79,0.24,0
SHP01481,China,Tanzania,Agricultural,847130,4424,137154,Air,Shanghai,Tema,6,On-Time,137746,Credit,37.93,191.07,0.39,0
SHP01482,China,Nigeria,Agricultural,520942,3866,22974,Air,Beijing,Lagos,18,On-Time,22996,Prepaid,9.83,1670.39,0.17,0
SHP01483,China,Nigeria,Agricultural,520942,4992,149608,Ship,Qingdao,Mombasa,3,On-Time,148616,Credit,38.78,2220.69,0.36,0
SHP01484,China,Nigeria,Textiles,847130,2905,43533,Ship,Shenzhen,Lagos,29,Delayed,43759,On Delivery,10.17,2480.79,0.43,1
SHP01485,China,Egypt,Agricultural,520942,61,94690,Rail,Shanghai,Durban,32,On-Time,95566,Prepaid,40.82,2561.17,0.21,0
SHP01486,China,Egypt,Machinery,843890,846,143260,Ship,Shenzhen,Cairo,19,On-Time,143429,Credit,40.04,1439.73,0.06,0
SHP01487,China,Kenya,Minerals,520942,1569,102904,Air,Guangzhou,Lagos,22,On-Time,102217,On Delivery,29.55,2859.45,0.43,1
SHP01488,China,Tanzania,Textiles,843890,1831,95450,Road,Qingdao,Dar es Salaam,21,On-Time,95692,Credit,45.99,223.79,0.2,0
SHP01489,China,South Africa,Minerals,847130,850,52963,Road,Shenzhen,Addis Ababa,33,Delayed,53134,On Delivery,2.1,575.2,0.47,1
SHP01490,China,Egypt,Electronics,520942,1031,48436,Air,Beijing,Dar es Salaam,11,On-Time,48138,Credit,31.23,2785.92,0.3,0
SHP01491,China,South Africa,Agricultural,100610,1523,96277,Air,Guangzhou,Mombasa,36,On-Time,97089,Credit,20.1,1350.53,0.33,0
SHP01492,China,Ethiopia,Textiles,520942,1309,101453,Road,Qingdao,Durban,22,On-Time,101904,Credit,69.37,1419.48,0.28,1
SHP01493,China,Tanzania,Machinery,100610,2390,94001,Road,Shanghai,Dar es Salaam,19,On-Time,93867,Credit,56.48,422.88,0.39,0
SHP01494,China,Ethiopia,Textiles,843890,2454,112938,Road,Qingdao,Mombasa,11,Delayed,112380,Prepaid,24.43,555.7,0.34,0
SHP01495,China,Kenya,Minerals,843890,4715,97999,Air,Shenzhen,Dar es Salaam,11,On-Time,98355,On Delivery,23.78,2770.54,0.21,0
SHP01496,China,Ghana,Minerals,100610,1424,143573,Air,Shenzhen,Mombasa,16,Delayed,144009,On Delivery,62.52,772.93,0.47,1
SHP01497,China,Ghana,Minerals,847130,141,23227,Road,Shenzhen,Lagos,26,On-Time,22598,Prepaid,10.71,522.51,0.19,0
SHP01498,China,Egypt,Machinery,100610,4312,111759,Air,Guangzhou,Mombasa,26,Delayed,112053,Credit,28.69,913.59,0.36,0
SHP01499,China,Ghana,Electronics,843890,1959,64967,Ship,Shanghai,Lagos,14,On-Time,65164,Prepaid,43.78,1218.45,0.16,0
SHP01500,China,Nigeria,Agricultural,260300,1969,125155,Ship,Beijing,Lagos,29,On-Time,125598,Credit,19.69,1717.75,0.45,1
SHP01501,China,Kenya,Textiles,843890,3833,33088,Rail,Shanghai,Dar es Salaam,18,On-Time,33965,Prepaid,6.58,2674.9,0.43,1
SHP01502,China,Kenya,Electronics,520942,1068,8657,Road,Beijing,Durban,9,On-Time,8791,Credit,65.52,1299.19,0.27,1
SHP01503,China,Nigeria,Minerals,260300,3147,42869,Rail,Qingdao,Lagos,28,On-Time,41885,On Delivery,61.92,1335.96,0.3,0
SHP01504,China,Tanzania,Minerals,520942,4090,137783,Rail,Guangzhou,Addis Ababa,12,On-Time,136791,Credit,29.82,1388.03,0.14,0
SHP01505,China,Ghana,Electronics,100610,3081,21220,Ship,Shanghai,Mombasa,19,On-Time,21798,Credit,52.78,1314.19,0.36,0
SHP01506,China,Nigeria,Machinery,843890,349,127790,Road,Shanghai,Lagos,9,On-Time,127790,On Delivery,66.87,745.82,0.37,1
SHP01507,China,Tanzania,Minerals,100610,3586,41719,Air,Shanghai,Mombasa,24,On-Time,41494,Prepaid,6.38,2397.07,0.13,0
SHP01508,China,Nigeria,Minerals,520942,1901,92745,Road,Shenzhen,Dar es Salaam,29,On-Time,92359,Prepaid,61.68,219.0,0.03,0
SHP01509,China,Kenya,Minerals,100610,1896,17803,Ship,Shanghai,Lagos,28,On-Time,18213,Prepaid,12.85,2946.22,0.06,0
SHP01510,China,Nigeria,Machinery,520942,3992,118005,Ship,Shenzhen,Tema,36,On-Time,117980,Prepaid,9.46,1667.28,0.15,0
SHP01511,China,Ethiopia,Machinery,520942,279,97529,Air,Guangzhou,Lagos,27,Delayed,98142,Credit,25.69,2850.79,0.29,0
SHP01512,China,Ghana,Electronics,260300,3921,78809,Ship,Shanghai,Lagos,16,On-Time,78426,Credit,36.37,2664.02,0.35,0
SHP01513,China,Tanzania,Electronics,100610,2387,62788,Rail,Shenzhen,Durban,30,On-Time,61980,On Delivery,13.63,1903.83,0.19,0
SHP01514,China,Ghana,Minerals,847130,4013,82169,Road,Shanghai,Tema,27,Delayed,81949,Credit,54.67,1461.8,0.12,0
SHP01515,China,Nigeria,Electronics,100610,2110,7387,Air,Beijing,Lagos,35,On-Time,8186,Prepaid,6.92,1971.13,0.02,0
SHP01516,China,South Africa,Agricultural,847130,4504,78071,Road,Guangzhou,Durban,23,On-Time,78052,Prepaid,51.0,967.45,0.37,0
SHP01517,China,Nigeria,Machinery,100610,4609,103752,Rail,Shanghai,Cairo,19,On-Time,103188,On Delivery,20.91,1498.41,0.03,0
SHP01518,China,Kenya,Machinery,100610,3551,65263,Road,Shenzhen,Durban,23,On-Time,65390,Credit,52.17,760.34,0.14,0
SHP01519,China,Egypt,Minerals,847130,1154,147712,Air,Qingdao,Tema,8,On-Time,147282,Credit,69.98,1489.72,0.39,1
SHP01520,China,Ethiopia,Electronics,100610,848,16467,Air,Shenzhen,Dar es Salaam,37,On-Time,16240,Prepaid,47.25,2420.03,0.09,0
SHP01521,China,Kenya,Minerals,520942,3421,64817,Rail,Beijing,Cairo,33,On-Time,64229,Credit,64.31,2121.76,0.36,0
SHP01522,China,Ethiopia,Minerals,100610,2907,112001,Air,Qingdao,Lagos,11,On-Time,112045,On Delivery,60.6,1529.7,0.22,0
SHP01523,China,Egypt,Textiles,260300,625,99410,Road,Shenzhen,Mombasa,3,On-Time,100266,On Delivery,47.49,761.03,0.02,0
SHP01524,China,Egypt,Machinery,847130,3746,83229,Ship,Qingdao,Cairo,28,On-Time,83412,Credit,6.08,2827.32,0.49,1
SHP01525,China,Nigeria,Minerals,260300,1939,37286,Air,Beijing,Mombasa,14,On-Time,37645,Prepaid,54.68,1789.8,0.33,0
SHP01526,China,Nigeria,Electronics,260300,2603,84637,Ship,Guangzhou,Lagos,39,On-Time,84351,On Delivery,45.03,471.92,0.36,0
SHP01527,China,Ethiopia,Agricultural,100610,241,122353,Road,Guangzhou,Mombasa,36,On-Time,121659,Prepaid,66.89,390.09,0.35,1
SHP01528,China,Egypt,Electronics,100610,108,134576,Air,Shanghai,Dar es Salaam,21,On-Time,135004,Prepaid,5.6,2885.19,0.28,0
SHP01529,China,Tanzania,Minerals,843890,4673,20624,Rail,Shanghai,Dar es Salaam,9,Delayed,21372,Credit,54.38,120.08,0.21,0
SHP01530,China,South Africa,Minerals,847130,2731,55802,Ship,Qingdao,Dar es Salaam,7,On-Time,55717,On Delivery,10.56,2032.61,0.34,0
SHP01531,China,Ethiopia,Textiles,847130,1376,84036,Road,Beijing,Mombasa,16,On-Time,83779,On Delivery,32.28,864.89,0.06,0
SHP01532,China,Ethiopia,Minerals,100610,1109,30874,Ship,Shenzhen,Addis Ababa,24,Delayed,31426,Prepaid,9.45,2020.39,0.22,0
SHP01533,China,Kenya,Textiles,847130,3632,111924,Air,Shenzhen,Lagos,34,On-Time,112027,On Delivery,33.85,2182.23,0.5,1
SHP01534,China,South Africa,Minerals,843890,3256,61289,Air,Shenzhen,Lagos,12,On-Time,61187,On Delivery,32.31,1633.57,0.06,0
SHP01535,China,Nigeria,Textiles,843890,1717,34164,Air,Shenzhen,Addis Ababa,20,On-Time,34111,Credit,29.25,635.68,0.3,0
SHP01536,China,Nigeria,Textiles,260300,4676,14335,Ship,Qingdao,Addis Ababa,6,On-Time,13475,Prepaid,6.97,2567.18,0.06,0
SHP01537,China,South Africa,Agricultural,520942,2767,64314,Rail,Qingdao,Lagos,26,On-Time,64370,On Delivery,22.24,1486.38,0.07,0
SHP01538,China,Egypt,Minerals,100610,4036,23510,Road,Beijing,Tema,25,On-Time,22769,On Delivery,43.2,1238.29,0.24,0
SHP01539,China,Nigeria,Agricultural,847130,2457,17644,Road,Qingdao,Tema,13,On-Time,18192,On Delivery,46.12,611.37,0.45,1
SHP01540,China,Nigeria,Textiles,520942,2013,139379,Rail,Guangzhou,Mombasa,20,On-Time,140166,Credit,43.23,828.35,0.36,0
SHP01541,China,Ethiopia,Agricultural,100610,2767,20389,Air,Beijing,Mombasa,20,On-Time,20396,On Delivery,52.89,648.19,0.42,1
SHP01542,China,Egypt,Electronics,260300,1179,84968,Air,Guangzhou,Lagos,37,Delayed,85436,On Delivery,3.69,893.67,0.3,1
SHP01543,China,Egypt,Agricultural,520942,1201,78820,Road,Beijing,Tema,9,On-Time,79745,Credit,15.07,82.29,0.02,0
SHP01544,China,Tanzania,Machinery,843890,3931,20668,Rail,Guangzhou,Durban,11,On-Time,21061,Credit,63.96,2847.77,0.41,1
SHP01545,China,Ethiopia,Electronics,847130,4564,64739,Rail,Shanghai,Tema,30,On-Time,64974,Prepaid,7.04,2625.43,0.43,1
SHP01546,China,Tanzania,Machinery,260300,1004,20305,Ship,Guangzhou,Lagos,36,Delayed,19834,On Delivery,28.54,2233.79,0.45,1
SHP01547,China,Ethiopia,Machinery,260300,1647,23909,Road,Shenzhen,Mombasa,34,On-Time,24622,Credit,41.02,1974.2,0.11,0
SHP01548,China,Egypt,Machinery,843890,3880,136605,Ship,Shenzhen,Addis Ababa,21,On-Time,136024,Prepaid,52.2,1347.15,0.47,1
SHP01549,China,Ethiopia,Minerals,100610,2405,39723,Rail,Shenzhen,Mombasa,30,On-Time,40166,Prepaid,48.94,1778.61,0.44,1
SHP01550,China,Kenya,Machinery,260300,3694,121985,Ship,Shanghai,Lagos,32,On-Time,121168,Credit,4.09,133.83,0.44,1
SHP01551,China,Ghana,Textiles,847130,3190,47756,Rail,Guangzhou,Dar es Salaam,29,On-Time,47538,On Delivery,34.4,2611.88,0.19,0
SHP01552,China,South Africa,Minerals,847130,3904,103980,Ship,Shanghai,Dar es Salaam,21,Delayed,103190,On Delivery,64.35,1641.83,0.26,0
SHP01553,China,South Africa,Minerals,847130,240,94609,Ship,Shanghai,Lagos,25,Delayed,93995,On Delivery,69.56,280.83,0.13,1
SHP01554,China,Tanzania,Electronics,260300,536,28798,Air,Qingdao,Durban,31,Delayed,29599,Prepaid,3.63,2686.71,0.03,0
SHP01555,China,South Africa,Electronics,260300,4517,108536,Rail,Shanghai,Dar es Salaam,5,On-Time,108689,Credit,59.21,1400.5,0.06,0
SHP01556,China,Ghana,Electronics,847130,2244,143923,Rail,Guangzhou,Durban,3,On-Time,144567,Prepaid,30.13,261.46,0.06,0
SHP01557,China,Egypt,Agricultural,520942,1821,119362,Air,Beijing,Dar es Salaam,36,On-Time,119250,Prepaid,4.26,1162.31,0.21,0
SHP01558,China,South Africa,Electronics,843890,2361,65945,Rail,Shenzhen,Mombasa,31,On-Time,66741,Prepaid,56.46,2964.67,0.18,0
SHP01559,China,Ethiopia,Machinery,100610,2773,53022,Rail,Beijing,Dar es Salaam,7,On-Time,53190,Credit,53.22,271.48,0.43,1
SHP01560,China,Kenya,Agricultural,520942,1863,123030,Road,Shanghai,Addis Ababa,39,On-Time,122527,Credit,4.87,1007.56,0.26,0
SHP01561,China,South Africa,Minerals,843890,4364,135672,Ship,Qingdao,Durban,34,On-Time,136123,Credit,26.73,141.42,0.16,0
SHP01562,China,Egypt,Agricultural,520942,2501,107689,Rail,Shanghai,Durban,38,On-Time,107399,Prepaid,10.5,2458.4,0.5,1
SHP01563,China,Ethiopia,Agricultural,260300,2783,107071,Rail,Guangzhou,Addis Ababa,11,On-Time,107852,Prepaid,28.35,2715.26,0.28,0
SHP01564,China,Ethiopia,Electronics,100610,973,131998,Rail,Beijing,Cairo,9,On-Time,132274,On Delivery,33.74,638.14,0.27,0
SHP01565,China,South Africa,Machinery,847130,4105,111093,Rail,Qingdao,Durban,10,On-Time,111807,On Delivery,69.27,821.28,0.44,1
SHP01566,China,Tanzania,Agricultural,100610,567,81830,Rail,Shanghai,Mombasa,8,On-Time,81498,Credit,55.57,1599.33,0.15,0
SHP01567,China,South Africa,Agricultural,520942,1426,84183,Rail,Beijing,Tema,12,Delayed,84145,Prepaid,31.2,1710.69,0.44,1
SHP01568,China,Tanzania,Machinery,260300,4970,87911,Rail,Guangzhou,Durban,39,On-Time,87059,On Delivery,15.53,1116.34,0.32,0
SHP01569,China,Tanzania,Electronics,843890,70,130802,Air,Shanghai,Dar es Salaam,8,On-Time,130901,On Delivery,32.18,2554.59,0.39,0
SHP01570,China,Ethiopia,Textiles,100610,2665,11402,Ship,Shenzhen,Addis Ababa,8,On-Time,10549,Prepaid,32.12,771.67,0.33,0
SHP01571,China,Ghana,Textiles,260300,4155,128990,Air,Beijing,Dar es Salaam,8,Delayed,128614,Credit,15.51,257.46,0.31,0
SHP01572,China,Kenya,Minerals,843890,2402,88115,Road,Guangzhou,Dar es Salaam,24,On-Time,87731,Credit,3.03,1830.47,0.19,0
SHP01573,China,Nigeria,Agricultural,100610,675,141978,Rail,Shanghai,Tema,34,On-Time,142396,On Delivery,53.35,147.61,0.48,1
SHP01574,China,Ethiopia,Agricultural,260300,2773,149493,Ship,Beijing,Lagos,5,On-Time,148660,On Delivery,25.48,1743.09,0.12,0
SHP01575,China,South Africa,Textiles,847130,1536,46230,Ship,Qingdao,Tema,3,On-Time,45732,Prepaid,24.7,1687.24,0.3,0
SHP01576,China,Ghana,Minerals,260300,1582,107666,Road,Shanghai,Lagos,18,On-Time,106904,On Delivery,23.79,602.32,0.32,0
SHP01577,China,South Africa,Minerals,260300,3129,109599,Rail,Shanghai,Lagos,10,On-Time,109542,Prepaid,47.21,853.78,0.32,0
SHP01578,China,Ghana,Machinery,847130,2543,67059,Air,Shanghai,Durban,6,On-Time,67467,Prepaid,14.42,1709.29,0.37,0
SHP01579,China,Egypt,Textiles,260300,1334,103993,Air,Beijing,Tema,26,Delayed,103332,On Delivery,44.04,2459.34,0.38,0
SHP01580,China,Kenya,Machinery,520942,4995,125388,Road,Qingdao,Durban,33,On-Time,124827,On Delivery,17.14,79.3,0.2,0
SHP01581,China,Ghana,Textiles,100610,3046,134014,Road,Shanghai,Lagos,25,On-Time,133126,Prepaid,31.11,2005.46,0.22,0
SHP01582,China,Kenya,Textiles,843890,355,26881,Rail,Shenzhen,Addis Ababa,28,On-Time,26036,On Delivery,29.82,1273.64,0.35,0
